type habits,prix,adresse,img_link
Ensemble blouson pour fille,5500.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4538922_uploaded_image1_1704933290.jpg
Blouson pour fille,6000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4527014_uploaded_image1_1704375688.jpg
Pull enfant avec capuche,5000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4522850_uploaded_image1_1704190687.jpg
Pull pour enfant,5000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4522837_uploaded_image1_1704190481.jpg
Friperie enfants,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4517974_uploaded_image2_1703783715.jpeg
Friperie enfants,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4516547_uploaded_image1_1703706216.jpg
Friperie enfants,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4513354_uploaded_image3_1703506745.jpeg
Blouson enfant,5000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4511874_uploaded_image1_1703350100.jpg
Blouson enfant,5500.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4511870_uploaded_image1_1703349818.jpg
Ensemble enfants 2 - 6ans,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4464056_uploaded_image1_1700401019.jpg
Caleçons garçon,6000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4483580_uploaded_image1_1701637915.jpg
Ensemble enfant,6000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4455065_uploaded_image1_1699814184.jpg
Ensemble veste pour enfant,23000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4479762_uploaded_image1_1701402947.jpg
Boxers fillette,6500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4471141_uploaded_image1_1700838256.jpg
Slips enfants,7000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4467057_uploaded_image1_1700591564.jpg
Polos  Lacoste enfants,4500.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4394815_uploaded_image1_1695942580.jpg
Vêtement enfant,4500.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4394813_uploaded_image1_1695942485.jpg
Jeans  pour enfants,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4397937_uploaded_image1_1696183097.jpg
Robe enfant,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4430601_uploaded_image1_1698283193.jpg
Robe de prière enfant,2500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4421455_uploaded_image1_1697627353.jpg
Bambinerie enfant,6000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4416818_uploaded_image3_1697296868.jpeg
Pantalon pour enfants,2500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4405127_uploaded_image1_1696582094.jpg
Polo Lacoste enfant,1500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4405119_uploaded_image1_1696581900.jpg
Ensemble enfant,13000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4402991_uploaded_image1_1696452237.jpg
Ensemble 2 pièces pour fille,14000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4402284_uploaded_image1_1696423054.jpg
Vêtements fille,4000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4350530_uploaded_image1_1692994986.jpg
Short enfant,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4381693_uploaded_image1_1695062191.jpg
Robe enfant,9300.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4342288_uploaded_image1_1692460517.jpg
Vêtements enfants,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375138_uploaded_image1_1694611073.jpg
Vêtement enfant,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375129_uploaded_image1_1694610764.jpg
Vêtements friperies  enfant,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375124_uploaded_image1_1694610661.jpg
Ensemble vêtement enfant,15300.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4340725_uploaded_image1_1692365333.jpg
T-shirt,9000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4340716_uploaded_image1_1692364927.jpg
Vêtement enfant,6500.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4333845_uploaded_image1_1691951676.jpg
Vêtement enfants,6500.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4330580_uploaded_image1_1691701473.jpg
Vêtement  enfant,6000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4330576_uploaded_image1_1691701385.jpg
Vêtement enfant,4500.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4327566_uploaded_image1_1691526561.jpg
Maillot enfant,2000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4344836_uploaded_image1_1692651906.jpg
Vêtements enfants,2000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4314416_uploaded_image1_1690724018.jpg
Couette bébé,6000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4338195_uploaded_image1_1692223604.jpg
Djellaba enfants,8500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4288629_uploaded_image1_1688997320.jpg
Pyjama bébé,6000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4316063_uploaded_image2_1690843428.jpeg
Culotte Berksha enfant,15000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4304204_uploaded_image1_1690023768.jpg
Vêtements enfants,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268608_uploaded_image1_1687563200.jpg
Vêtements enfants,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268605_uploaded_image1_1687563103.jpg
Vêtements enfants,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4267930_uploaded_image1_1687524110.jpg
Ensemble pour enfants,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4267915_uploaded_image1_1687523597.jpg
Vêtements enfants,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4266992_uploaded_image1_1687458981.jpg
Vêtements enfants,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4265951_uploaded_image1_1687419299.jpg
Pantalon en coton,6500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4284180_uploaded_image2_1688677380.jpeg
Hijab enfant,6000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4280858_uploaded_image1_1688492406.jpg
